nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"ALBARELLOS, NICANOR",1862-1864,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,,,,,,
"ALBARRACIN GODOY, JORGE",1940-1944,Mendoza,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"ALBARRACIN, BELISARIO",1932-1934,San Juan,UNION CIVICA RADICAL BLOQUISTA,,,,,,,,,,,
"ALBARRACIN, BELISARIO",1926-1930,San Juan,UNION CIVICA RADICAL BLOQUISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALBARRACIN, BELISARIO",1923-1926,San Juan,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ALBARRACIN, BELISARIO",1884-1888,San Juan,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial ;",,,,,,,,,,
"ALBARRACIN, ESTANISLAO",1912-1916,San Juan,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ALBARRACIN, FRANCISCO L.",1920-1924,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALBARRACIN, IGNACIO ARTURO",1983-1985,Catamarca,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALBARRACIN, JORGE LUIS",2011-2013,Mendoza,ALIANZA FRENTE CIVICO FEDERAL - UNION CIVICA RADICAL-CONFE,,,,,,,,,,,
"ALBARRACIN, JORGE LUIS",2005-2009,Mendoza,UNION CIVICA RADICAL,,,,,,,,,,,
