nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"ALBARRACIN, JUAN P.",1888-1892,San Juan,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ALBARRACIN, JUAN P.",1882-1886,San Juan,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"ALBERDI, JUAN B.",1878-1882,Tucumán,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,"Cese del Poder Legislativo en 1880, por la Federalización de Buenos Aires",,Cesante el 24/06/1880,,,Reemplazado por Silvano A. Bores,,,,
"ALBERTELLI, PEDRO A. F.",1954-1958,Buenos Aires,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALBERTI, JUAN CARLOS",1991-1995,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"ALBERTI, LUCIA T. N.",1985-1988,Capital Federal,UNION CIVICA RADICAL,,,,,,,,,,,
"ALBORNOZ, ANTONIO",1985-1989,Jujuy,UNION CIVICA RADICAL,,,,,,,,,,,
"ALBRIEU, OSCAR E.",1952-1955,La Rioja,PARTIDO PERONISTA,,,,,,,,,,,
"ALBRIEU, OSCAR E.",1946-1950,La Rioja,UNION CIVICA RADICAL,Acta judicial del resultado electoral o-Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALBRIEU, OSCAR EDMUNDO NICOLAS",2009-2013,Rio Negro,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALBRISI, CESAR ALFREDO",2007-2011,Córdoba,FRENTE JUSTICIA UNION Y LIBERTAD,,,,,Falleció el 14/04/2010,,"Reemplazado por ASEF, DANIEL E.",,,,
"ALBRISI, CESAR ALFREDO",1997-2001,Córdoba,ACCION POR LA REPUBLICA - PAIS,,,,,,,,,,,
"ALCALA, NESTOR RICARDO",1991-1995,La Pampa,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALCHOURON, GUILLERMO EDUARDO",2003-2007,Buenos Aires,ACCION POR LA REPUBLICA,,,,,,,,,,,
"ALCHOURON, GUILLERMO EDUARDO",1999-2003,Buenos Aires,ACCION POR LA REPUBLICA,,,,,,,,,,,
"ALCOBENDAS, FRANCISCO",1892-1896,Capital Federal,No consignado,,,,,,,,,,,
"ALCOBENDAS, FRANCISCO",1872-1876,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,,,,,,
"ALCORTA, AMANCIO",1876-1880,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota girada a es",,,,,,,,,,
"ALCORTA, AMANCIO",1875-1876,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota",,,,,,,,,,
"ALCORTA, AMANCIO",1886-1890,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ALCORTA, PEDRO R.",1875-1878,Santiago del Estero,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ALCORTA, SANTIAGO",1873-1874,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota",,,,,,,,,,
"ALCORTA, SANTIAGO",1874-1878,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección",,,,,,,,,,
"ALCORTA, VICTOR",1924-1928,Santiago del Estero,UNION CIVICA RADICAL UNIFICADA,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ALCUAZ, HORACIO ALBERTO",2007-2011,Buenos Aires,COALICION CIVICA,,,,,,,,,,,
"ALDAO, CARLOS A.",1902-1906,Santa Fe,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ALDAO, RICARDO",1918-1922,Santa Fe,UNION CIVICA RADICAL DISIDENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALDAO, RICARDO",1914-1918,Santa Fe,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ALDAZABAL, MAXIMO",1924-1928,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ALDAZABAL, MAXIMO",1928-1932,Buenos Aires,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ALDERETE, CARLOS ALBERTO",1985-1989,Misiones,UNION CIVICA RADICAL,,,,,,,,,,,
"ALDERETE, ELIO",1958-1962,Salta,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 10/05/1959,,"Reemplazado por ABRAHAM, RESTON",,,,
"ALEGRE, CARLOS DUVOL",1965-1967,Buenos Aires,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ALEM, LEANDRO N.",1895-1898,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial Nota girada a esta",,,,Falleció el 01/07/1896,,,,,,
"ALEM, LEANDRO N.",1874-1878,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoNota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección;",,,,,,,,,,
"ALEMAN URQUIZA, LUIS CESAR",1960-1964,Santa Fe,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ALEMAN, EUGENIO",1920-1924,Santa Fe,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALEMAN, EUGENIO (P)",1896-1900,Santa Fe,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota",,,,,,,,,,
"ALENDE, OSCAR EDUARDO",1989-1993,Buenos Aires,FRENTE JUSTICIALISTA de UNIDAD POPULAR,,,,,,,,,,,
"ALENDE, OSCAR EDUARDO",1985-1989,Buenos Aires,PARTIDO INTRANSIGENTE,,,,,,,,,,,
"ALENDE, OSCAR EDUARDO",1993-1997,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA,,,,,Falleció el 22/12/1996,,"Reemplazado por TAGLIAFICO, JOSE E.",,,,
"ALENDE, OSCAR EDUARDO",1952-1958,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALESSANDRI, CARLOS",1999-2003,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALESSANDRO, DARIO PEDRO",1999-2003,Capital Federal,FRENTE DEL PAIS SOLIDARIO,,,,,,,,,,,
"ALESSANDRO, DARIO PEDRO",1995-1999,Capital Federal,FRENTE DEL PAIS SOLIDARIO,,,,,,,,,,,
"ALESSANDRO, JULIO DARIO",1987-1991,Buenos Aires,FRENTE JUSTICIALISTA RENOVADOR,,,,,,,,,,,
"ALFARO, GERMAN ENRIQUE",2007-2011,Tucumán,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"ALFARO, MANUEL",1930-1934,La Rioja,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ALFONSIN, RAUL RICARDO",1963-1967,Buenos Aires,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ALFONSIN, RICARDO LUIS",2009-2013,Buenos Aires,ALIANZA ACUERDO CIVICO Y SOCIAL,,,,,,,,,,,
"ALFONSO, FELIPE S.",1922-1926,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALFONSO, FRANCISCO E.",1900-1904,Santa Fe,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ALGABA, ERNESTO PEDRO ANDRES",1991-1995,Santa Fe,UNION CIVICA RADICAL,,,,,,,,,,,
"ALIAS, MANUEL",1983-1985,Jujuy,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALIZEGUI, ANTONIO ANIBAL",2007-2011,Entre Ríos,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALLEGRONE DE FONTE, NORMA",1985-1989,Capital Federal,UNION CIVICA RADICAL,,,,,,,,,,,
"ALLEGRONE DE FONTE, NORMA",1983-1985,Capital Federal,UNION CIVICA RADICAL,,,,,,,,,,,
"ALLENDE, ALBERTO GONZALO",1997-2001,Capital Federal,DEMOCRATA,,,,,,,,,,,
"ALLENDE, ALFREDO ESTANISLAO",1999-2003,Buenos Aires,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION",,,,,,,,,,,
"ALLENDE, ALFREDO ESTANISLAO",1995-1999,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"ALLENDE, LUIS M.",1908-1910,Córdoba,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ALLEVI DE GOLLETTI, CELIA",1955-1961,Córdoba,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALLPERIN, SAMUEL",1936-1940,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALLUB, ROSENDO",1946-1950,Santiago del Estero,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALMADA, JORGE M.",1963-1965,Capital Federal,PARTIDO DEMOCRATICO CONSERVADOR DE LA CAPITAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALMADA, TRISTAN M.",1896-1900,Córdoba,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elecci,,,,,,,,,,
"ALMADA, TRISTAN M.",1892-1896,Córdoba,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"ALONSO, ALFREDO",1955-1961,Misiones,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALONSO, ALFREDO J.",1932-1936,Córdoba,PARTIDO DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALONSO, GUMERSINDO FEDERICO",2009-2013,Córdoba,ALIANZA FRENTE CIVICO,,,,,,,,,,,
"ALONSO, GUMERSINDO FEDERICO",2003-2007,Córdoba,NUEVO CONTRA LA CORRUPCION Y POR LA TRANSPARENCIA,,,,,,,,,,,
"ALONSO, JOSE",1952-1958,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALONSO, LAURA",2009-2013,Ciudad Autonoma de Buenos Aires,ALIANZA PRO - PROPUESTA REPUBLICANA,,,,,,,,,,,
"ALONSO, MARIA LUZ",2011-2015,La Pampa,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"ALOY, ANTONIA",1955-1961,Corrientes,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALSINA, ADOLFO",1862-1866,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,,,,,,
"ALSINA, JUAN JOSE",1936-1940,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALSINA, MARCOS",1908-1912,Salta,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento c Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ALSOGARAY, ALVARO CARLOS",1987-1991,Capital Federal,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"ALSOGARAY, ALVARO CARLOS",1991-1995,Capital Federal,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"ALSOGARAY, ALVARO CARLOS",1995-1999,Capital Federal,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"ALSOGARAY, ALVARO CARLOS",1983-1987,Capital Federal,UNION de CENTRO DEMOCRATICO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALSOGARAY, MARIA JULIA",1985-1989,Capital Federal,UNION DE CENTRO DEMOCRATICO,,,,,,,,,,,
"ALTAMIRANO, AMADO HECTOR H.",1983-1987,Neuquen,MOVIMIENTO POPULAR NEUQUINO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALTERACH, MIGUEL ANGEL",1985-1989,Misiones,FRENTE JUSTICIALISTA de UNIDAD POPULAR,,,,,,,,,,,
"ALTERACH, MIGUEL ANGEL",1995-1999,Misiones,FRENTE JUSTICIALISTA POPULAR,,,,,,,,,,,
"ALTERACH, MIGUEL ANGEL",1989-1993,Misiones,FRENTE JUSTICIALISTA de UNIDAD POPULAR,,,,,,,,,,,
"ALURRALDE, PEDRO",1874-1878,Tucumán,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección",,,,,,,,,,
"ALURRALDE, PEDRO (H)",1892-1896,Tucumán,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ALVARADO, MANUEL RAMON",1926-1930,Salta,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ALVARADO, MANUEL RAMON",1922-1926,Salta,CONCENTRACION CIVICA PROVINCIAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ALVARADO, MANUEL RAMON",1930-1934,Salta,PARTIDO UNION PROVINCIAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ALVARADO, MANUEL ROMULO",1924-1928,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALVARADO, RUFINO VICENTE",1958-1962,Córdoba,UNION CIVICA RADICAL,,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ALVARADO, SERGIO F.",1894-1898,Jujuy,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ALVARADO, SORIANO",1876-1880,Jujuy,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ALVAREDO DE BLANCO SILVA, OBDULIA",1953-1958,Chaco (Presidente Peron),PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ALVAREZ COLODRERO, CARLOS",1936-1940,Corrientes,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALVAREZ DE CONDARCO, JOSE ANTONIO",1860-1862,San Juan,No consignado,,Clausura del Poder Legislativo en 1861 por la Confederación Argentina,,,,Parana,,,,,
"ALVAREZ DE CONDARCO, JOSE ANTONIO",1857-1860,Santiago del Estero,No consignado,,,,,,Parana;,,,,,
"ALVAREZ ECHAGÜE, RAUL ANGEL",1991-1995,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ALVAREZ ECHAGÜE, RAUL ANGEL",1995-1999,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ALVAREZ ECHAGÜE, RAUL ANGEL",1987-1991,Buenos Aires,FRENTE JUSTICIALISTA RENOVADOR,,,,,,,,,,,
"ALVAREZ GARCIA, NORMANDO MIGUEL",1995-1999,Jujuy,FRENTE CIVICO - UNION CIVICA RADICAL,,,,,,,,,,,
"ALVAREZ GARCIA, NORMANDO MIGUEL",1991-1995,Jujuy,UNION CIVICA RADICAL,,,,,,,,,,,
"ALVAREZ GUERRERO, OSVALDO",1987-1991,Rio Negro,UNION CIVICA RADICAL,,,,,,,,,,,
"ALVAREZ GUERRERO, OSVALDO",1973-1977,Rio Negro,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el peRiodo 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ALVAREZ HAYES, JUSTO",1922-1926,Corrientes,AUTONOMISTA LIBERAL DE CORRIENTES,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALVAREZ PEREYRA, MANUEL",1946-1950,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,Mandato prorrogado hasta 30/04/1952,,,,,
"ALVAREZ PEREZ, VICENTE",1946-1948,Buenos Aires,LABORISTA E INDEPENDIENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALVAREZ PRADO, JOSE MARIA",1888-1892,Jujuy,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ALVAREZ PRADO, TIBURCIO",1872-1876,Jujuy,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección",,,,,,,,,,
"ALVAREZ RODRIGUEZ, MARIA CRISTINA",2005-2009,Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA (Polo Social - Partido De la Victoria - Nueva Democracia - Partido para la Acción Nueva - Frente Grande - Movimiento H.A.C.E.R. por Buenos Aires),,,,,,,"Reemplazada por FERNANDEZ, MARCELO OMAR",,,,
"ALVAREZ VOCOS, ENRIQUE",1946-1948,Córdoba,UNION CIVICA RADICAL JUNTA RENOVADORA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALVAREZ YANZI, FLORENCIO JUAN",1962-1966,Chubut,PARTIDO PROVINCIAL DEL CHUBUT,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
